link_id,platform,share_url,title,pubdate,view,like,reply,share,favorite,cover_url,tags,bgm,co_operators,author,related_series
92fa1883,B站,https://www.bilibili.com/video/BV1RC4y1e75w,【盲盒剧场·第六季】《长公主在上》广播剧PV,2024/01/07,37425,1408,98,36,267,http://i1.hdslb.com/bfs/archive/91ccba542f3f1eb52e043258337e2bbd191e3678.jpg,#王宁#广播剧#长公主在上#盲盒剧场#伤洛#猫耳FM#知竹,,,猫耳FM,
6b560432,B站,https://www.bilibili.com/video/BV1c84y1T7hM,当一个事业批，遇上两个恋爱脑……丨GB短剧《东栏雪》,2023/04/06,1293133,94815,961,5841,18056,http://i1.hdslb.com/bfs/archive/785f36bdbc5b2a8985cfc0ee24b185fc78635cc3.jpg,#B站小剧场#短剧#芝月#圻夏夏#东栏雪#锦超#我在B站拍短剧,,,知竹zZ,
ca93d191,B站,https://www.bilibili.com/video/BV1Xa41187kw,最先动心的人，注定是输家。丨GB文学 短剧长公主在上,2022/03/01,1437510,49113,1152,7268,13479,http://i0.hdslb.com/bfs/archive/0efebf3e071e2d022b00ee77934d5e5e8166ad73.jpg,#B站小剧场#短剧#古风#GB#女A男O,,,知竹zZ,
286978f4,B站,https://www.bilibili.com/video/BV1UR4y1j74s,骄奢淫逸长公主 x 失身又失心卧底侍卫 丨GB文学  短剧长公主在上,2022/02/05,1124128,71716,2663,12344,13582,http://i1.hdslb.com/bfs/archive/db762fde624d8c4effe0af79fbc4be1f01e75163.jpg,#GB#春节影视好看指南#古风#原创#短剧#女A男O#新春宅家追剧攻略,,,知竹zZ,
14248431,快手,https://www.kuaishou.com/short-video/3xsakwt82ysbrbe,"“只要是你想要的，我都会替你夺过来。”
“……我又怎么会对一颗棋子动心？”

出镜:@圻夏夏(O3xctcpqmgpbdm7u) @锦超jc(O3xqcjcem9zaqti9)",2021/08/16,13904000,847625,0,0,0,,#快手剧星计划,,,知竹zZ,
fcc312a0,快手,https://www.kuaishou.com/short-video/3xdpdg6x4tajs5a,【一些删减掉的片段】之吵架日常。主演：@锦超jc(O3xqcjcem9zaqti9) @圻夏夏(O3xctcpqmgpbdm7u) #东栏雪 #快手星芒短剧,2023/05/17,1713000,54730,0,0,0,,#东栏雪#快手星芒短剧,,,知竹zZ,
80f4cb39,快手,https://www.kuaishou.com/short-video/3xvfy5htrf4r8vw,故事还在继续，春日总会达到。小七和阿颜一定会携手漫步在江南的梨花树下，我相信，终会有那一日…… 主演：@圻夏夏(O3xctcpqmgpbdm7u) @锦超jc(O3xqcjcem9zaqti9) #东栏雪 #快手星芒短剧,2023/04/28,4532000,178460,0,0,0,,#东栏雪#快手星芒短剧,,,知竹zZ,
2907dc1b,快手,https://www.kuaishou.com/short-video/3xsav6hhxy8p8ye,阿颜，你要走了吗？主演：@锦超jc(O3xqcjcem9zaqti9) @圻夏夏(O3xctcpqmgpbdm7u) #东栏雪 #快手星芒短剧,2023/04/26,3795000,88858,0,0,0,,#东栏雪#快手星芒短剧,,,知竹zZ,
14e0858c,快手,https://www.kuaishou.com/short-video/3xx7239kjr78sye,我想做的从来不止是扳倒太子，阿颜，我想还你清白。主演：@圻夏夏(O3xctcpqmgpbdm7u) @锦超jc(O3xqcjcem9zaqti9) #东栏雪 #快手星芒短剧,2023/04/23,3817000,84204,0,0,0,,#东栏雪#快手星芒短剧,,,知竹zZ,
072e7b92,快手,https://www.kuaishou.com/short-video/3x9zhuxduir8kt2,太子过生日终于穿新衣服了hhh 主演：@锦超jc(O3xqcjcem9zaqti9) @圻夏夏(O3xctcpqmgpbdm7u) #东栏雪 #快手星芒短剧,2023/04/21,4044000,83369,0,0,0,,#东栏雪#快手星芒短剧,,,知竹zZ,
814ce647,快手,https://www.kuaishou.com/short-video/3xbmrwia3ftywgk,七殿下你是怎么认为自己能骗过师父的呢！不过是阿颜心软，宠着你不点破罢了～主演：@锦超jc(O3xqcjcem9zaqti9) @圻夏夏(O3xctcpqmgpbdm7u) #东栏雪 #快手星芒短剧,2023/04/19,4161000,85942,0,0,0,,#东栏雪#快手星芒短剧,,,知竹zZ,
e1d717ab,快手,https://www.kuaishou.com/short-video/3xt98x2a4zzzz3c,是很抗揍的小七…… 主演：@锦超jc(O3xqcjcem9zaqti9) @圻夏夏(O3xctcpqmgpbdm7u) #东栏雪 #快手星芒短剧,2023/04/19,5745000,104282,0,0,0,,#东栏雪#快手星芒短剧,,,知竹zZ,
1ba24f26,快手,https://www.kuaishou.com/short-video/3xq6z9ngkmvp3h2,知情趣又温柔，偶尔霸道偶尔还会撒娇，以及非常非常护妻……阿颜真的会被这样的七殿下吃的死死的。主演：@圻夏夏(O3xctcpqmgpbdm7u) @锦超jc(O3xqcjcem9zaqti9),2023/04/16,4719000,77662,0,0,0,,,,,知竹zZ,
ee2ff0b6,快手,https://www.kuaishou.com/short-video/3xdse63f84b8mmk,是纯情又好学的腹黑七殿下！主演：@锦超jc(O3xqcjcem9zaqti9) @圻夏夏(O3xctcpqmgpbdm7u) #东栏雪 #快手星芒短剧,2023/04/14,7803000,197096,0,0,0,,#东栏雪#快手星芒短剧,,,知竹zZ,
5e1ffa12,快手,https://www.kuaishou.com/short-video/3xqs7fxy4r88dwk,阿颜，我不要你做受委屈的人，如果伤疤不会好的话，那我来补偿你吧。主演：@锦超jc(O3xqcjcem9zaqti9) @圻夏夏(O3xctcpqmgpbdm7u) #东栏雪 #快手星芒短剧,2023/04/12,26283000,262530,0,0,0,,#东栏雪#快手星芒短剧,,,知竹zZ,
5907c924,快手,https://www.kuaishou.com/short-video/3xde4eufdmenrdg,时隔一年的温泉终于泡上了！主演：@圻夏夏(O3xctcpqmgpbdm7u) @锦超jc(O3xqcjcem9zaqti9) #东栏雪 #快手星芒短剧,2023/04/09,6799000,142139,0,0,0,,#东栏雪#快手星芒短剧,,,知竹zZ,
7041295f,快手,https://www.kuaishou.com/short-video/3xxjcuufs92m2uk,心机也好，耍赖也好，反正我也不是什么好人，只要能让你留在身边，用尽手段又怎么样呢？主演：@锦超jc(O3xqcjcem9zaqti9) @圻夏夏(O3xctcpqmgpbdm7u) #东栏雪 #快手星芒短剧,2023/04/07,7270000,158922,0,0,0,,#东栏雪#快手星芒短剧,,,知竹zZ,
