series_id,series_name,desc,tags,work_id_list,co_operators,cover
3de816d8,蔓夭,本是师徒一场，她却在朝夕相伴中生了爱慕。然情深无望，终成心魔——一念成魔，只因爱而不得,#B站小剧场#一眼千年潮越古今#剧情#剧情演绎#古装#古风#影视#影视剪辑#海俪恩人生第一副美瞳#电视剧剪辑,"afad8bb1,8574094e",洋洋,http://i1.hdslb.com/bfs/archive/b2eda4fc71d1dbf5fed7e585dc02a838ce55c350.jpg
1a33f7e8,重生之师尊她黑化了,清冷师尊为护徒而死，觉醒的魔尊徒弟以魔气逆天相救。然而被唤醒的，却是师尊的另一面...,#B站小剧场#一梦黄粱多少年#二次元#二次元衍生#古风#古风视频#影视#影视剪辑#汉服#照从前#电视剧剪辑#短片,"6bbcaa51,decefb70,9e415995,b2cab3ac,ccf13ca6",扎心雷同学,http://i0.hdslb.com/bfs/archive/7a3bbaaa38a57312d5d8d37d96bd1cee95865145.jpg
481e4036,【水仙】自己爱上自己是一种什么样的体验？,懵懂花妖x小道士,#原创#古风#古风视频#短片,"43e14307,cdc41410",花皙蔻,http://i0.hdslb.com/bfs/archive/5415511c2e74deb34140e0e0c7751796996b8bec.jpg
be358af9,结缘地,"仙魔大战后,魔族统领和仙族统领的搞笑爱情故事",#兰蔻水粉底#剧情向#影视#影视剪辑#搞笑#电视剧剪辑#短剧,ec17b3d6,楚琪,http://i2.hdslb.com/bfs/archive/34c10cd15294584d360411e0700a57eb87556f81.jpg
4e0dcada,龟裂(民国清汉女),民国深宅大院里的爱恨情仇,#B站小剧场#B站小剧场·新春放映会#二次元#二次元衍生#影视#影视剪辑#明星八卦#明星随拍资讯#汉服#电视剧剪辑,"6b436fec,5cebb50a,5b0965c3,6b79c57f","化妆师小青蛙,千里明明,团子Lazy,夫诸,杨老麦,杨英俊,爱喵的风华,陈瑜婕",http://i0.hdslb.com/bfs/archive/8a408df77524a4e79ac8ab3bbd2252bfa7faefc5.jpg
a952815b,湮灭,孪生妹妹因母妃阴谋而走散，哥哥以血与身份为代价为妹妹铺下皇权之路，留下她在爱与恨中化身“皇子”，踏入夺位争权的残酷宫廷,#B站小剧场#B站小剧场·新春放映会#卯兔迎春小剧场#影视#影视剪辑#我在B站拍短剧·夏日剧场#电视剧剪辑,"f68039d5,9cef508a,60091f28",团子Lazy,http://i1.hdslb.com/bfs/archive/20925e62bb81c3e9e976edef68a50470986ca5a5.jpg
507c1cee,情深不悔,东方不败x雪千寻,#古风#自制,"bf850612,3fe18caf,a43d08ae","妞·妞·妞,妞妞妞",http://i2.hdslb.com/bfs/archive/9470f2b62abddee1c58ba048bc2d79c4a4567b6f.jpg
d70126bb,双A花魁,"双A花魁,这次谁是猎物？",#古风#自制,"eaa4eecc,2cac4e14,e3ed334d","圣微,知竹zZ",http://i0.hdslb.com/bfs/archive/aae5b01cdde105cf2379ddfa7e471dd1112d7f87.jpg
05ed5b9f,青蛇x白蛇,青蛇x白蛇,#二次元#二次元内容#二次元衍生#动漫IP#古风#古风视频#汉服#白蛇2青蛇劫起#短片#青蛇#青蛇劫起,"5c95ffc0,ac36c16d","圣微,知竹zZ",http://i2.hdslb.com/bfs/archive/a286d70c454ddfd0e1f948c03802b76d6d4798f1.jpg
180d66d8,梦幻西游手游系列,逍遥生x小狐狸/我的意中人是只猫/应龙x雷龙x女魃/金蝉子x蜘蛛精,#B站小剧场#人人都能聊影视5.0#其他剧情#剧情#剧情演绎#古风#我在B站拍短剧#梦幻手游盘丝洞#梦幻西游#梦幻西游手游周年庆#梦幻西游电脑版,"f9ecccb1,f1fcdf01,9d7a0db5,c94cf8f1","梦幻西游手游,楚淇,锦超",http://i1.hdslb.com/bfs/archive/c256328c70083189954c4ceeb990a8f8a58694d7.jpg
f7e9957b,百里安姝,深情狐君x痴情少女,#B站小剧场#B站小剧场·新春放映会#二次元#二次元衍生#影视#影视剪辑#我在B站拍短剧#我在B站拍短剧·夏日剧场#汉服#电视剧剪辑,"54a5c9f5,9b50e756,80db502a",锦超,http://i1.hdslb.com/bfs/archive/5f1d3eceab5d1d7c010c996f3f46e18245bf8ded.jpg
7ecf3fb5,孪生劫【欧莱雅】,腹黑王爷x双面杀手x哑巴小傻子,#B站小剧场#京东秒杀#其他剧情#剧情#剧情演绎#古风#居家#影视#影视剪辑#欧莱雅20霜#电视剧剪辑#短片#自制,"f44ca94e,21c022b7,a8d2ee48,506858d9",锦超,http://i1.hdslb.com/bfs/archive/64889b69f8380ffa6b3a04619a49ecc68fc6ea75.jpg
a624b8d7,节日特辑,中秋/兔年新春/牛年新春,#2023新年快乐#4K#B站小剧场#B站小剧场·夏日狂欢季#B站小剧场·新春放映会#以不变应万变#兰蔻二代小黑瓶#剧情#剧情演绎#古风#哔玩春节档#我在B站拍短剧#春节影视好看指南#贺岁,"0ebcd961,c60b57bb,936edb52",,http://i0.hdslb.com/bfs/archive/be1e6d18170703814a70b2b145596a80d087f918.jpg
73c6a2a1,杀人魔姐弟的恋爱日常,伪骨科,#B站小剧场#B站小剧场·夏日狂欢季#伪骨科#影视#影视剪辑#电视剧剪辑,"e59354c1,9b8e3cf2,3fe0bf23",玖柯9k,
185b3e92,致命温柔,"杀机与心动纠缠,在这场猎人与猎物的游戏里,谁才是真正的掌控者？",#B站小剧场·新春篇#冬日暴击#唇部彩妆#彩妆#影视#影视剪辑#新年盒你心意#时尚#杀手#爱情#电视剧剪辑,"8038f5bd,235154cb","朵声,玖柯9k",http://i2.hdslb.com/bfs/archive/2063e069d872d4b40e64bf131d3fd3a0d2fa1875.jpg
a4c34524,窃心,笨蛋捕快x心机小贼,#B站小剧场#人人都能聊影视5.0#剧情#剧情演绎#古装#古风#我在B站拍短剧,"78c5615b,e6e9dbeb",锦超,
58701be8,妖与仙,双重人格花妖x双重人格仙君(魔君),#B站小剧场#B站小剧场2.0#B站小剧场·新春篇#一眼千年潮越古今#冬日暴击#创意广告#剧情#剧情演绎#原创#古装#古风#影视#影视剪辑#植村秀日本柚子洁颜油#欧莱雅太空霜#歌曲万物起舞#歌曲三寸月光#海俪恩人生第一副美瞳#电视剧剪辑#短片,"8df418f7,f030a348,98d4d4f8,9c1d8bd2,2af069be,8e140694",锦超,http://i1.hdslb.com/bfs/archive/59c7ca6a0f192ec5b4cd2e8e23d5a11458e0ee55.jpg
b3d775e7,恶人组,美艳御姐反派x年下忠犬小狼狗,#B站小剧场#原创#古装#古风#古风视频#山海入梦来#短片#自制#黑化,"2c35834b,36603fd2,1393bc8b,bc3daa05,5218dc29,140af4db,a2e5a640","知竹zZ,锦超",http://i2.hdslb.com/bfs/archive/c6efb12d13af02062a6837ea22562d93e56950c4.jpg
30d52d3d,黄雀在后,呆萌树妖x腹黑道士,#B站小剧场·夏日狂欢季#兰蔻小黑瓶发光眼霜#古装#古风#影视#影视剪辑#我在B站拍短剧#护肤#时尚#电视剧剪辑#眼部护肤#致闪闪发光的夜,"f3b5e00b,b5d8b630,7fea7a72","孝太,庄翰_Roya",https://i2.hdslb.com/bfs/archive/2b27d16726a7439373314d931f562e0ee1844e65.jpg
b2c7cda5,你嗑的CP是真的,高冷顶流女明星x傻白甜女团爱豆 娱乐圈小甜饼 假戏真做,,"27db1da8,d970052a,7268c6b8",芝月,https://i2.hdslb.com/bfs/archive/1dfdf0043649f2d6d137434c3a21e0e6fd0b3744.jpg
3f3f6f52,我的be小说男友,网文写手x小说男主,#B站小剧场#kono#KONO#你的随享沙龙#其他剧情#剧情#剧情演绎#原创#古风#影视#影视剪辑#我在B站拍短剧#我在B站拍短剧·夏日剧场#电视剧剪辑#秋日暴击,"6be65c67,43ed33e8,368fdd28","KONO洗护精选,锦超",http://i1.hdslb.com/bfs/archive/5994ab9fdffb8369922f2273127527c8a59fb985.jpg
de0bc64e,双夏脑洞大开,圻夏夏x夏弃疾(下乡版),#ai奇特妆造的反差感谁懂啊#AI奇特妆造的反差感谁懂啊#B站小剧场#B站小剧场6.0#B站小剧场·夏日狂欢季#cosplay#二次元#二次元衍生#仿妆#即梦AI#即梦ai#即梦ai奇特妆造#即梦AI奇特妆造#原创#哈莉奎茵#女性#小丑女#怪诞美学#我在B站拍短剧#抖音青年艺术家计划#摄影#摄影写真#日常vlog#核污染#核污染水排海计划#核污水#氛围感#水下摄影#汉服#环境保护#生活记录#短片#自由点益生菌#自由点益生菌卫生巾#艺术在抖音#谷围南亭#超级英雄#随拍,"93a6e9b8,5c499e7d,6c8d9050,3ffd0a88,d48d390f,2b579a08,48f9f084,1fea0270,55c77305",夏弃疾(下乡版),
4e1560c3,鲛,纯情鲛人x傲娇人族,#B站小剧场#TF白麝香枕边白昼礼盒#TF白麝香香水#TF礼物#原创#古风#自制,"61ee2b02,75311ee2",锦超,http://i1.hdslb.com/bfs/archive/5c65b1604763f6343d5951de0c675ff2f17e87c4.jpg
0ca87504,答案之书红色芍药篇,小狼崽弟弟x美艳钓系姐姐,#B站小剧场#CP#原创#爱情#短片#自制,"51f1ae62,80f3f79a,74cec809,57cd321d,db837639",锦超,http://i2.hdslb.com/bfs/archive/851d1ac5091783bcfa328876b81d08dd586520c3.jpg
