work_id,title,author,desc,co_operators,tags,share_url,link_list
78c5615b,1. <<从一开始我想偷的…就只有你的心啊。>>,圻夏夏,,锦超,#剧情#剧情演绎#古风#我在B站拍短剧,https://www.douyin.com/video/7216896081903242507,"2f4ccabb,bdc032b3,39bf3367,56e32527"
e6e9dbeb,"2. <<【圻夏夏*锦超｜偷心盗贼】你在这,我又能逃去哪呢？>>",圻夏夏,,,#B站小剧场#人人都能聊影视5.0#古装,https://www.bilibili.com/video/BV1jbZbYfEQc,"f4a96dc1,cf6243a9,a54aa150"
f3b5e00b,"1. <<既然你于我有救命之恩,那不如你以身相许。>>",圻夏夏,,,#B站小剧场·夏日狂欢季#兰蔻小黑瓶发光眼霜#影视#影视剪辑#我在B站拍短剧#电视剧剪辑#致闪闪发光的夜,https://www.douyin.com/video/7283110088489962791,"b8dc1ac4,dd72c1ac,65545cbd,da2f86cc"
b5d8b630,"2. <<梦什么没什么,怕什么来什么！老天爷你干嘛要为难我这棵手无缚鸡之力的小树啊！>>",圻夏夏,,,#兰蔻小黑瓶发光眼霜#古风#护肤#时尚#眼部护肤,https://www.douyin.com/video/7336854382077676841,"59138feb,b1cbb97e,cde0c6f1"
7fea7a72,"3. <<甜言蜜语是表达爱意的有效捷径,实际行动是展示内心的正确方法！>>",圻夏夏,,,#兰蔻小黑瓶发光眼霜#古装#护肤#时尚#眼部护肤,https://www.douyin.com/video/7336929033143323915,"f5044eeb,a9566914,c648f5df"
27db1da8,"1. <<《你嗑的CP是真的》 娱乐圈小甜饼,高冷女顶流 x 傻白甜爱豆,片头的芒果味还算正吗哈哈哈~>>",知竹zZ,,芝月,,https://www.kuaishou.com/short-video/3xpffxj2y3dj63c,c36eac55
d970052a,"2. <<《你嗑的CP是真的》 娱乐圈小甜饼,高冷女顶流 x 傻白甜爱豆,假戏真做~>>",知竹zZ,,芝月,,https://www.kuaishou.com/short-video/3xhpdate9pr3k2i,42c09c3a
7268c6b8,"3. <<娱乐圈小甜饼,高冷女顶流 x 傻白甜爱豆,啊啊啊啊啊啊是社死现场~>>",知竹zZ,,芝月,,https://www.kuaishou.com/short-video/3xq8qmx63x8j7im,fa2d62af
6be65c67,"1. <<门口那个算命很准的老头说了,你和我是天造地设的一对…所以林然,你跑不掉的！>>",圻夏夏,,锦超,#B站小剧场#kono#你的随享沙龙#其他剧情#剧情#剧情演绎#原创#古风,https://www.douyin.com/video/7137552894730964232,"25611c6d,e52de9b1,dc45d498"
43ed33e8,2. <<我相信总有一天林然会亲口承认他喜欢我！>>,圻夏夏,,"KONO洗护精选,锦超",#B站小剧场#kono#KONO#你的随享沙龙#影视#影视剪辑#电视剧剪辑#秋日暴击,https://www.douyin.com/video/7156804626077977869,"f4b61076,624e8fd7,057136ca,cf4cb1a5"
368fdd28,3. <<【圻夏夏*锦超｜我的be小说男友(叁)】啊！真实诡计多端的…>>,圻夏夏,,,#我在B站拍短剧#我在B站拍短剧·夏日剧场,https://www.bilibili.com/video/BV1mu4y1o7Wr,"0c4989f,7a27154a,78f0b122,ad8dd669"
93a6e9b8,"1. <<救救我,不要丢下我。>>",圻夏夏,,夏弃疾(下乡版),#B站小剧场#B站小剧场·夏日狂欢季#摄影#核污染#核污染水排海计划#水下摄影#随拍,https://www.douyin.com/video/7281618427838483753,"22327b0b,340a280c,038b5e74,9ccdc2ca"
5c499e7d,"2. <<“腐烂的,发霉的,无人可怜的。” 手机花絮,拍完晚上就吃鱼了hh>>",夏弃疾（下乡版）,,,#怪诞美学#抖音青年艺术家计划#摄影#摄影写真#核污水#环境保护#艺术在抖音#随拍,https://www.douyin.com/video/7280487616850464040,138a9ba9
6c8d9050,"3. <<设定:污染后的末日来临,某反人类叛逃组织私自进行活体寄生实验。 实验室中,存活下来的最后一只被群体寄生的试验体,发生了变异…>>",圻夏夏,,夏弃疾(下乡版),#B站小剧场#B站小剧场6.0#二次元#二次元衍生#汉服,https://www.douyin.com/video/7285301934817283347,"46002ded,4524f9bd,0b5ecd6d,8efa7cfe"
3ffd0a88,4. <<虫女｜我吃下了一朵花。>>,圻夏夏,,,,https://www.xiaohongshu.com/explore/65099503000000001e02e906?xsec_token=ABoJTmx8QLNQiHmZ3lm8j4I9vQkDl0zAsOWDiavOsYgWE=&xsec_source=pc_search,201a7c53
d48d390f,"5. <<一场为月经污名化的平反。 没有不洁和污秽,愿大家坦然对待,勇破偏见。>>",圻夏夏,,夏弃疾(下乡版),#B站小剧场6.0#原创#女性#我在B站拍短剧#日常vlog#生活记录#短片#自由点益生菌#自由点益生菌卫生巾#随拍,https://www.douyin.com/video/7297634165053279551,"f1ccd21d,878956f8,860d58a9,161e2cee"
2b579a08,"6. <<“紫金现世,大 同 将至——我愿化作那道光——！” 是我爱的佛爷,是我心疼的小七。>>",夏弃疾（下乡版）,,,#cosplay#二次元#二次元衍生#仿妆#抖音青年艺术家计划#氛围感#艺术在抖音#谷围南亭,https://www.douyin.com/video/7303146158149406004,1e3a8646
48f9f084,"7. <<“我不是小丑女,我是哈莉奎茵。” 给我帅飞夏总>>",夏弃疾（下乡版）,,,#AI奇特妆造的反差感谁懂啊#ai奇特妆造的反差感谁懂啊#cosplay#二次元#二次元衍生#即梦ai#即梦AI#即梦ai奇特妆造#即梦AI奇特妆造,https://www.douyin.com/video/7431073387490970938,6284f6af
1fea0270,8. <<nice to meet ya！>>,圻夏夏唉,,,#cosplay#二次元#二次元衍生#哈莉奎茵,https://www.douyin.com/video/7432227693116017920,fdaa00d1
55c77305,9. <<小丑女下乡记！>>,圻夏夏唉,,,#cosplay#二次元#二次元衍生#小丑女#短片#超级英雄,https://www.douyin.com/video/7427092802191838498,"3cfbe8f3,2be13c84"
61ee2b02,1. <<【鲛｜壹】现在的人鱼都这么好骗吗？>>,圻夏夏,,,#B站小剧场#TF白麝香枕边白昼礼盒#TF白麝香香水#TF礼物#原创#古风,https://www.bilibili.com/video/BV1Dg411y7mZ,91d8dac4
75311ee2,"2. <<【鲛｜贰】骗你是我的情理之中,爱上你却在意料之外。>>",圻夏夏,,,#B站小剧场#古风#自制,https://www.bilibili.com/video/BV1GV4y1N7gj,c0b90b16
51f1ae62,1. <<【答案之书｜红色芍药篇】(预告一)姐姐太忙了怎么办？>>,圻夏夏,,,#B站小剧场#自制,https://www.bilibili.com/video/BV1CS4y1J7mV,b694a58b
80f3f79a,2. <<【答案之书｜红色芍药篇】(预告二)这个答案之书到底靠不靠谱啊？！>>,圻夏夏,,,#B站小剧场,https://www.bilibili.com/video/BV1vd4y1Q7qE,fd284d1e
74cec809,3. <<【答案之书｜红色芍药篇(一)】怎么办？我被困在了梦里！！>>,圻夏夏,,,#B站小剧场#原创#短片,https://www.bilibili.com/video/BV1eS4y177Fs,7737cdeb
57cd321d,"4. <<【答案之书｜红色芍药篇(二)】试问,有谁能拒绝直球弟弟的表白呢？！>>",圻夏夏,,,#B站小剧场#CP#短片#自制,https://www.bilibili.com/video/BV1ka411M7ZQ,dc1751bc
db837639,5. <<【答案之书｜红色芍药篇(三)】喜欢有那么难说出口吗？>>,圻夏夏,,,#B站小剧场#爱情,https://www.bilibili.com/video/BV1SS4y147mr,516f8d94
2ea2daa0,"1. <<【圣诞特辑｜YSL】所以说啊,男朋友还得是自己养大的才比较乖～>>",圻夏夏,,,#B站小剧场#ysl302#ysl圣诞猎金派对#古风,https://www.bilibili.com/video/BV1tg411A7zL,e6917dc7
708561be,2. <<【情人节特辑｜ysl】契约印记为何突然消失？新人物—大长老出现！>>,圻夏夏,,,#B站小剧场#B站小剧场·新春篇#ysl1966#ysl情人节#古风#情人节礼物,https://www.bilibili.com/video/BV1UL4y147Jv,f4b8eb4d
2eb19388,3. <<【YSL｜失魂果】如何跟女朋友道歉？教学速进！>>,圻夏夏,,,#B站小剧场#B站小剧场2.0#古风#短片,https://www.bilibili.com/video/BV1Fa411a7t4,ac20c0b9
c9512334,4. <<【YSL｜偷师】口嫌体正是什么意思？本集详细解释。>>,圻夏夏,,,#B站小剧场#B站小剧场2.0#古风#短片,https://www.bilibili.com/video/BV1HU4y1U7SQ,a1fa4e09
e19e8b4e,5. <<【圻夏夏*锦超】(ysl番外1)做事情不可以三心二意哦～>>,圻夏夏,,,#短片,https://www.bilibili.com/video/BV1df4y1K7hm,c5416a02
a3bebe1d,"6. <<【圻夏夏*锦超】(ysl番外2)感觉他好像生气了,可他为什么要生气啊！！>>",圻夏夏,,,#B站小剧场#古风#影视#影视剪辑#电视剧剪辑#短片,https://www.bilibili.com/video/BV1Jb4y1q7nH,"4e5af458,52a1ced4,6f79afe8"
35da89c0,"7. <<【圻夏夏】(ysl番外3)你这是要打架的意思吗,老东西？>>",圻夏夏,,,#B站小剧场#二次元#二次元衍生#汉服,https://www.bilibili.com/video/BV1yY4y1H7E7,"7f351845,45466ede,2461eba0"
65dcf497,"8. <<【圻夏夏｜锦超】(ysl番外4)雪糕是什么味道我不记得了,就觉得挺甜的。>>",圻夏夏,,,#B站小剧场#B站小剧场2.0#剧情#剧情演绎#古风#甜,https://www.bilibili.com/video/BV1oY4y1h7cR,"f634caa8,5d8a4d80"
1a38e4e2,"9. <<【圻夏夏｜锦超】(ysl预告番外5)夕阳里藏着爱意,如果可以的话,在春天见一面吧。>>",圻夏夏,,,#B站小剧场#B站小剧场2.0#帅哥#预告#颜值,https://www.bilibili.com/video/BV1c34y1e7jH,"decd5b44,66b56830,5d50c616"
2fff955b,"1. <<【圻夏夏】(预告)你不要再等了…花开花落自有定数,人去人留皆是命数。>>",圻夏夏,,,#古风,https://www.bilibili.com/video/BV1pR4y1p7hZ,6e235b36
8e533f0f,"2. <<【圻夏夏*锦超】(替身文学)原来只是,像她…而已吗>>",圻夏夏,,,#古风#短片,https://www.bilibili.com/video/BV1nh411872a,ad6d57af
a7472190,"3. <<【圻夏夏*锦超】(替身文学)终于,找到你了。>>",圻夏夏,,,#二次元#二次元衍生#古风#古风视频#汉服#短片,https://www.bilibili.com/video/BV1sv411T79i,"806983df,9cd35342,eb45d53e,f3780e07"
c23d3c9a,"4. <<【圻夏夏*锦超】(替身文学)原来所谓相爱,从一开始便是错觉。>>",圻夏夏,,,#古风#古风视频#影视#影视剪辑#电视剧剪辑#短片,https://www.bilibili.com/video/BV1FP4y1j7Qx,"d49c734e,35061e4e,0c117e7e,d9d3d39c"
