link_id,platform,pubdate,title,tags,co_operators,related_series,cluster,final_series,method
3483c211,B站,2025/06/26,哦、我的小狗,#盛世天下,,,0.0,cluster_0,cluster
09bc849e,B站,2025/04/10,"曾经我也以为,遇见你是我此生最幸运的事",#B站小剧场#人人都能聊影视5#梦幻手游盘丝洞,,,0.0,cluster_0,cluster
60e569f1,B站,2025/04/04,"可惜面具戴太久了,我已无法摘下",#古风,,,5.0,cluster_5,cluster
f4a96dc1,B站,2025/04/01,"【圻夏夏*锦超|偷心盗贼】你在这,我又能逃去哪呢?",#B站小剧场#古装#人人都能聊影视5,,,0.0,cluster_0,cluster
e53e85fb,B站,2025/03/20,"堕神|我所做这一切,皆为苍生",#古风,,,5.0,cluster_5,cluster
19a3a8f1,B站,2024/10/26,"【圻夏夏】你看我这手无缚鸡之力的样子,哪里会杀人?",#古风,,,5.0,cluster_5,cluster
2be13c84,B站,2024/10/18,小丑女下乡记!,#短片#小丑女#超级英雄,,,5.0,cluster_5,cluster
fde6b05f,B站,2024/10/15,【圻夏夏|胡雪岩打卡实录】突然收到了两年前定做的衣服!,#日常,,,0.0,cluster_0,cluster
40cbecc4,B站,2024/10/13,【圻夏夏|彝族】你是哪里来的客人呀?,#中国风#彝族,,,0.0,cluster_0,cluster
d57f287e,B站,2024/08/30,【浮华梦|圻夏夏】一个打戏小训练!,#练习#演员#打戏,,,0.0,cluster_0,cluster
607edd12,B站,2024/08/23,(浮华梦)前世今生版,#影视剪辑#剪辑#爱情,,,4.0,cluster_4,cluster
ec53ee2e,B站,2024/08/16,"【浮华梦】看不起纸片人的力量,最终将被力量吞噬!",#影视剪辑#纸片人#旗袍,,,0.0,cluster_0,cluster
70ae1673,B站,2024/08/16,"【短剧浮华梦|预告2】你是虚拟的,但我的爱不是",#剧情向#预告片#原创,,,0.0,cluster_0,cluster
d636e5cd,B站,2024/08/15,"【短剧浮华梦】这种和纸片人谈恋爱的破游戏,到底是谁在玩啊?",#穿越#脑洞#剧情向,,,0.0,cluster_0,cluster
9a78efba,B站,2024/08/14,【短剧浮华梦|圻夏夏】放开我!我才不要玩什么乙女游戏!,#游戏#电视剧#乙女,,,0.0,cluster_0,cluster
5b1e7c38,B站,2024/05/04,【圻夏夏|超快的打戏混剪】这还帅不到你!?,#打戏混剪,,,0.0,cluster_0,cluster
540852e8,B站,2024/03/15,"在这里,情爱是最不能信的东西",#爱情#影视剪辑#东西,,,4.0,cluster_4,cluster
a9566914,B站,2024/02/21,【圻夏夏*孝太|黄雀在后(三)】恋爱脑的战力为零!,#古装,,,0.0,cluster_0,cluster
b1cbb97e,B站,2024/02/19,【圻夏夏*孝太|黄雀在后(二)】现在求饶还来得及吗?,#古风,,,5.0,cluster_5,cluster
878956f8,B站,2023/11/05,"【圻夏夏|一场为月经污名化的平反】本就没什么不洁污秽,愿大家都能坦然对待,勇破偏见",#女性#短片#原创#我在B站拍短剧#B站小剧场6,,,0.0,cluster_0,cluster
307bf340,B站,2023/10/25,"【圻夏夏*楚淇|结缘地】没见过这么正大光明的广告...还以为是一个人,没想到是一对儿?",#搞笑#剧情向#短剧,,,0.0,cluster_0,cluster
4524f9bd,B站,2023/10/03,"【污染末日|食腐变异体】群体寄生,基因融合,你能活到第几集?",#B站小剧场#B站小剧场6,,,0.0,cluster_0,cluster
ca674812,B站,2023/09/29,【中秋特辑|团团圆圆】怎么?!嫦娥玉兔来人间就能白嫖吗?!,#我在B站拍短剧#B站小剧场,,,2.0,cluster_2,cluster
dd72c1ac,B站,2023/09/27,"【圻夏夏*孝太|黄雀在后(一)】打工人!主打的就是一个能屈能伸!脸上笑嘻嘻,心里...",#我在B站拍短剧#B站小剧场,,,0.0,cluster_0,cluster
038b5e74,B站,2023/09/22,"【海洋污染】救救我,别丢下我",#B站小剧场,,,0.0,cluster_0,cluster
90f392bc,B站,2023/08/06,"【圻夏夏*玖柯|杀人魔姐弟的恋爱日常】(伪骨科)虽然没有血缘关系,但都流着黑色的血",#B站小剧场,,,0.0,cluster_0,cluster
d4b4eed0,B站,2023/07/12,"【圻夏夏*圣微|海洋馆记录】可惜故事已经发生,可惜我无法改写",#B站小剧场#我在B站拍短剧,,,0.0,cluster_0,cluster
ca99de5c,B站,2023/07/08,"【圻夏夏|湮灭】只要能活下去,就算是带着恨也好",#B站小剧场#我在B站拍短剧,,,0.0,cluster_0,cluster
d14403f1,B站,2023/06/28,"可是,他不爱我啊",#我在B站拍短剧,,,0.0,cluster_0,cluster
